School_Rank,School_Name,City_State,lat,lon,School_Url
100,Meadow Glens Elementary School,"Naperville, IL",41.745685,-88.107176,https://www.naperville203.org/meadowglens
99,Bellevue High School,"Bellevue, WA",47.604142,-122.198703,http://www.bsd405.org/bhs/
98,Village Elementary School,"Syosset, NY",40.821058,-73.497032,http://www.syossetschools.org/schools/village_elementary
97,Ps 188 Kingsbury,"Flushing, NY",40.736104,-73.753623,http://schools.nyc.gov/SchoolPortals/26/Q188/default.htm
96,Lexington High School,"Lexington, IL",40.645043,-88.780228,http://www.lexington.k12.il.us/
95,Daves Creek Elementary School,"Cumming, GA",34.136316,-84.142607,https://www.forsyth.k12.ga.us/davescreek
94,New Franklin School,"Portsmouth, NH",43.077083,-70.776564,http://www.cityofportsmouth.com/school/newfrank/
93,Windsor Park G/T,"Corpus Christi, TX",27.724807,-97.369034,https://windsorpark.ccisd.us/
92,Arizona College Prep Oakland Campus,"Chandler, AZ",33.310919,-111.845469,https://www.cusd80.com/domain/1466
91,Half Day School,"Lincolnshire, IL",42.198471,-87.934356,http://www.hd.d103.org/
90,Martha & Josh Morriss Math & Engineering El,"Texarkana, TX",33.463697,-94.111204,http://www.txkisd.net/morriss/
89,Richard E Byrd,"Glen Rock, NJ",40.961811,-74.136552,http://byrd.glenrocknj.org/
88,Academy For Excellence Through The Arts (The),"Forest Hills, NY",40.725755,-73.844042,http://schools.nyc.gov/SchoolPortals/28/Q303/default.htm
87,Irma Rangel Young Womens Leadership Middle,"Dallas, TX",32.773979,-96.760481,https://www.dallasisd.org/rangel
86,H W Mountz Elementary School,"Spring Lake, NJ",40.157427,-74.030266,https://www.hwmountz.k12.nj.us/
85,Metairie Academy For Advanced Studies,"Metairie, LA",29.981264,-90.126723,http://metairie.jpschools.org/
84,Brooklyn School Of Inquiry,"Brooklyn, NY",40.607008,-73.986852,https://brooklynschoolofinquiry.org/
83,Westshore Junior/Senior High School,"Melbourne, FL",28.107915,-80.62591,http://www.edline.net/pages/west_shore_jsh
82,Steck Elementary School,"Denver, CO",39.723784,-104.938553,http://steck.dpsk12.org/
81,Wauwatosa Stem,"Wauwatosa, WI",43.043556,-88.012701,http://www.edlinesites.net/pages/Wauwatosa_STEM
80,Alexander Hamilton School,"Glen Rock, NJ",40.951904,-74.130724,https://www.morrisschooldistrict.org/hamilton
79,Carver Center,"Midland, TX",31.999851,-102.059332,https://www.midlandisd.net/Domain/334
78,Hulstrom Options K-8 School,"Northglenn, CO",39.905694,-104.965428,https://hulstrom.adams12.org/
77,High Peaks Elementary School,"Boulder, CO",40.004278,-105.243941,http://hpe.bvsd.org/Pages/default.aspx
76,Lakewood Elementary,"Overland Park, KS",38.863609,-94.660168,https://district.bluevalleyk12.org/schools/elementary/LKE/Pages/home.aspx
75,Success Academy Charter School-Bed Stuy 2,"Brooklyn, NY",40.696726,-73.947309,http://www.successacademies.org/schools/bed-stuy-2/
74,Knox Gifted Academy,"Chandler, AZ",33.325075,-111.852626,https://www.cusd80.com/knox
73,Success Academy Charter School-Bronx 1,"Bronx, NY",40.813666,-73.925921,http://www.successacademies.org/schools/bronx-1/
72,Success Academy Charter School-Bronx 3,"Bronx, NY",40.824911,-73.905821,http://www.successacademies.org/schools/bronx-3/
71,Success Academy Charter School-Prospect Heights,"Brooklyn, NY",40.673945,-73.951395,http://www.successacademies.org/schools/prospect-heights/
70,Thomas Edison Energysmart Charter School,"Somerset, NJ",40.528094,-74.522326,http://energysmartschool.org/
